time,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,cloud_cover
2016-09-01 00:00:00,15.6,0.0,10.9,85,99
2016-09-01 01:00:00,14.9,0.0,10.6,85,100
2016-09-01 02:00:00,14.4,0.0,10.1,86,91
2016-09-01 03:00:00,13.9,0.0,9.0,89,12
2016-09-01 04:00:00,13.1,0.0,7.9,92,10
2016-09-01 05:00:00,12.7,0.0,7.2,94,7
2016-09-01 06:00:00,12.6,0.0,6.8,95,46
2016-09-01 07:00:00,12.8,0.0,7.2,95,67
2016-09-01 08:00:00,14.5,0.0,6.8,92,90
2016-09-01 09:00:00,16.2,0.0,6.5,85,76
2016-09-01 10:00:00,18.0,0.0,6.5,74,79
2016-09-01 11:00:00,19.1,0.0,7.5,68,73
2016-09-01 12:00:00,20.1,0.0,8.7,61,66
2016-09-01 13:00:00,20.9,0.0,9.2,57,60
2016-09-01 14:00:00,21.9,0.0,10.1,51,92
2016-09-01 15:00:00,22.3,0.0,11.0,50,52
2016-09-01 16:00:00,22.4,0.0,12.6,49,95
2016-09-01 17:00:00,22.3,0.0,13.2,49,100
2016-09-01 18:00:00,21.7,0.0,12.4,51,99
2016-09-01 19:00:00,20.6,0.0,10.2,56,87
2016-09-01 20:00:00,18.9,0.0,10.7,64,24
2016-09-01 21:00:00,17.5,0.0,11.8,72,35
2016-09-01 22:00:00,16.3,0.0,12.4,78,92
2016-09-01 23:00:00,15.5,0.0,12.2,83,100
2016-09-02 00:00:00,15.1,0.0,12.2,87,99
2016-09-02 01:00:00,14.7,0.0,11.8,89,99
2016-09-02 02:00:00,14.2,0.0,9.8,91,98
2016-09-02 03:00:00,13.7,0.0,10.2,93,99
2016-09-02 04:00:00,13.4,0.0,11.7,95,100
2016-09-02 05:00:00,13.3,0.3,11.5,95,93
2016-09-02 06:00:00,13.4,0.4,12.8,94,82
2016-09-02 07:00:00,13.6,0.3,14.8,93,93
2016-09-02 08:00:00,15.0,0.3,14.5,89,97
2016-09-02 09:00:00,16.5,0.0,16.6,80,99
2016-09-02 10:00:00,18.4,0.0,19.7,73,100
2016-09-02 11:00:00,20.1,0.0,20.3,69,100
2016-09-02 12:00:00,21.1,0.0,18.0,67,100
2016-09-02 13:00:00,21.1,0.0,18.1,68,100
2016-09-02 14:00:00,20.8,0.0,19.5,69,100
2016-09-02 15:00:00,20.0,0.0,17.8,72,100
2016-09-02 16:00:00,19.6,0.0,17.1,74,100
2016-09-02 17:00:00,19.2,0.0,16.6,77,100
2016-09-02 18:00:00,18.9,0.0,17.1,79,100
2016-09-02 19:00:00,18.8,0.0,16.1,80,100
2016-09-02 20:00:00,17.8,0.0,14.3,85,100
2016-09-02 21:00:00,17.7,0.0,13.5,87,100
2016-09-02 22:00:00,17.6,0.0,12.9,88,100
2016-09-02 23:00:00,17.4,0.0,12.1,88,100
2016-09-03 00:00:00,17.1,0.0,12.2,86,100
2016-09-03 01:00:00,16.3,0.0,11.0,85,100
2016-09-03 02:00:00,15.3,0.0,9.9,85,99
2016-09-03 03:00:00,14.5,0.0,10.7,86,99
2016-09-03 04:00:00,13.7,0.0,11.4,89,98
2016-09-03 05:00:00,13.3,0.0,9.8,92,99
2016-09-03 06:00:00,12.7,0.0,9.5,94,88
2016-09-03 07:00:00,12.5,0.0,10.0,95,72
2016-09-03 08:00:00,14.4,0.0,11.4,92,75
2016-09-03 09:00:00,15.6,0.0,12.4,83,89
2016-09-03 10:00:00,17.0,0.0,15.7,72,98
2016-09-03 11:00:00,18.3,0.0,17.0,63,100
2016-09-03 12:00:00,19.4,0.0,21.5,59,100
2016-09-03 13:00:00,20.1,0.0,20.0,57,100
2016-09-03 14:00:00,20.3,0.0,25.3,60,100
2016-09-03 15:00:00,20.3,0.0,29.4,63,100
2016-09-03 16:00:00,19.4,0.0,24.0,68,100
2016-09-03 17:00:00,18.7,0.2,23.8,74,100
2016-09-03 18:00:00,17.8,0.8,23.8,83,100
2016-09-03 19:00:00,17.0,1.3,23.1,94,100
2016-09-03 20:00:00,17.1,0.0,22.5,94,100
2016-09-03 21:00:00,17.6,0.0,21.9,94,100
2016-09-03 22:00:00,17.8,0.3,21.5,94,100
2016-09-03 23:00:00,17.7,0.2,23.2,95,100
2016-09-04 00:00:00,17.6,0.0,23.9,96,100
2016-09-04 01:00:00,17.5,0.0,25.1,95,99
2016-09-04 02:00:00,17.5,0.1,26.9,96,99
2016-09-04 03:00:00,17.6,0.3,26.9,95,66
2016-09-04 04:00:00,17.5,0.2,23.2,92,92
2016-09-04 05:00:00,16.2,0.0,21.5,87,97
2016-09-04 06:00:00,15.2,0.0,20.2,86,82
2016-09-04 07:00:00,14.7,0.0,20.9,86,100
2016-09-04 08:00:00,16.0,0.0,20.9,84,100
2016-09-04 09:00:00,16.4,0.0,24.0,81,96
2016-09-04 10:00:00,17.5,0.0,27.2,74,100
2016-09-04 11:00:00,18.6,0.0,27.1,67,100
2016-09-04 12:00:00,19.2,0.0,23.7,62,100
2016-09-04 13:00:00,20.1,0.0,23.3,56,100
2016-09-04 14:00:00,20.3,0.0,21.4,55,100
2016-09-04 15:00:00,20.4,0.0,17.9,55,100
2016-09-04 16:00:00,20.4,0.0,18.2,55,100
2016-09-04 17:00:00,20.2,0.0,17.7,57,100
2016-09-04 18:00:00,19.7,0.0,15.9,59,100
2016-09-04 19:00:00,19.2,0.0,14.8,62,100
2016-09-04 20:00:00,18.2,0.0,13.4,70,98
2016-09-04 21:00:00,17.6,0.0,11.8,73,100
2016-09-04 22:00:00,17.0,0.0,11.0,77,100
2016-09-04 23:00:00,16.5,0.0,11.8,80,100
2016-09-05 00:00:00,16.1,0.1,10.0,82,99
2016-09-05 01:00:00,15.9,0.2,10.2,84,100
2016-09-05 02:00:00,15.5,0.3,7.4,86,100
2016-09-05 03:00:00,15.2,0.3,8.3,89,100
2016-09-05 04:00:00,15.0,0.1,6.9,91,100
2016-09-05 05:00:00,15.0,0.0,5.8,92,100
2016-09-05 06:00:00,14.9,0.2,5.2,94,100
2016-09-05 07:00:00,15.1,0.2,7.2,94,100
2016-09-05 08:00:00,15.0,0.6,9.8,93,100
2016-09-05 09:00:00,15.2,0.4,12.0,93,100
2016-09-05 10:00:00,15.7,0.0,12.8,92,100
2016-09-05 11:00:00,16.5,0.0,12.4,91,100
2016-09-05 12:00:00,17.3,0.0,11.6,89,100
2016-09-05 13:00:00,18.5,0.0,10.1,87,100
2016-09-05 14:00:00,19.7,0.0,8.0,84,100
2016-09-05 15:00:00,20.6,0.0,9.2,81,100
2016-09-05 16:00:00,21.1,0.0,9.7,80,100
2016-09-05 17:00:00,21.7,0.0,10.3,77,100
2016-09-05 18:00:00,21.5,0.0,9.5,79,100
2016-09-05 19:00:00,21.2,0.0,7.5,81,100
2016-09-05 20:00:00,20.9,0.0,7.9,85,99
