fecha,n_pedidos,es_festivo,festivo_nombre,temp_media_dia,precipitacion_total_dia,viento_medio_dia,humedad_media_dia,nubosidad_media_dia,temp_media_serv,precipitacion_total_serv,viento_medio_serv,humedad_media_serv,nubosidad_media_serv,dia_semana,dia_semana_es,mediana_dow,zscore
2016-09-01,10,0,,17.42,0.0,9.65,73.38,68.83,19.96,0.0,11.9,59.86,76.0,Thursday,Jueves,11.0,-0.17192615775234166
2016-09-02,20,0,,17.14,1.3,14.96,82.58,98.29,18.51,0.0,15.37,81.43,100.0,Friday,Viernes,25.0,-0.7436602951017768
2016-09-03,35,0,,16.83,2.8,17.54,81.54,96.54,17.91,2.6,22.94,85.86,100.0,Saturday,Sábado,39.0,-0.45580768972384667
2016-09-04,12,0,,17.96,0.6,20.36,75.0,97.04,18.9,0.0,14.69,64.71,99.71,Sunday,Domingo,18.0,-0.9675943742478135
2016-09-05,5,0,,17.86,2.4,9.07,87.17,97.71,21.06,0.0,8.93,82.57,97.29,Monday,Lunes,8.0,-0.46920187448240486
2016-09-06,8,0,,20.77,0.1,8.27,86.58,86.88,21.69,0.0,7.64,80.0,92.86,Tuesday,Martes,8.0,0.0
2016-09-07,4,0,,20.69,0.0,8.16,77.92,61.04,22.63,0.0,10.74,63.43,27.14,Wednesday,Miércoles,9.0,-0.7170045446992264
2016-09-08,7,0,,18.6,0.0,16.26,69.17,12.62,19.14,0.0,16.66,56.86,22.14,Thursday,Jueves,11.0,-0.6877046310093666
2016-09-09,23,0,,18.4,0.2,20.95,78.17,69.67,19.74,0.0,22.87,74.29,70.86,Friday,Viernes,25.0,-0.2974641180407107
2016-09-10,21,0,,17.64,7.5,18.26,90.17,97.29,17.63,0.7,14.61,94.0,99.43,Saturday,Sábado,39.0,-2.0511346037573097
2016-09-11,11,0,,15.74,0.0,8.07,74.04,20.58,17.17,0.0,10.2,60.57,2.0,Sunday,Domingo,18.0,-1.1288601032891157
2016-09-12,6,0,,18.41,0.0,12.9,77.08,55.54,22.24,0.0,11.66,67.57,76.57,Monday,Lunes,8.0,-0.31280124965493655
2016-09-13,4,0,,23.22,0.0,10.43,69.88,44.21,25.86,0.0,10.56,62.29,21.29,Tuesday,Martes,8.0,-0.8961507134255007
2016-09-14,7,0,,22.14,0.0,10.75,70.33,5.17,22.79,0.0,8.07,64.14,3.43,Wednesday,Miércoles,9.0,-0.2868018178796905
2016-09-15,8,0,,20.51,2.0,10.38,80.21,34.5,22.17,0.8,10.07,77.57,76.0,Thursday,Jueves,11.0,-0.515778473257025
2016-09-16,19,0,,16.5,17.7,15.19,86.17,82.12,16.04,0.1,21.57,69.43,52.0,Friday,Viernes,25.0,-0.8923923541221321
2016-09-17,39,0,,15.14,0.2,21.45,77.04,96.0,16.37,0.0,19.63,82.43,99.0,Saturday,Sábado,39.0,0.0
2016-09-18,14,0,,16.49,0.0,8.01,79.08,87.42,18.01,0.0,5.71,71.43,95.86,Sunday,Domingo,18.0,-0.6450629161652089
2016-09-19,5,0,,16.62,1.6,6.8,81.88,97.96,16.81,1.6,7.93,84.57,100.0,Monday,Lunes,8.0,-0.46920187448240486
2016-09-20,5,0,,15.94,0.0,6.93,85.38,98.04,17.19,0.0,5.06,74.57,95.29,Tuesday,Martes,8.0,-0.6721130350691256
2016-09-21,3,0,,16.55,0.0,8.78,80.92,58.17,18.0,0.0,11.67,71.29,70.43,Wednesday,Miércoles,9.0,-0.8604054536390716
2016-09-22,11,0,,15.95,0.4,11.04,82.5,61.88,16.61,0.1,10.36,78.29,22.71,Thursday,Jueves,11.0,0.0
2016-09-23,17,0,,13.18,0.0,8.63,70.96,20.0,15.19,0.0,10.8,63.0,16.29,Friday,Viernes,25.0,-1.1898564721628428
2016-09-24,41,0,,17.07,0.0,18.58,71.96,83.71,19.56,0.0,20.51,59.43,99.43,Saturday,Sábado,39.0,0.22790384486192333
2016-09-25,14,0,,16.61,0.0,18.22,67.12,56.62,15.5,0.0,15.0,60.29,3.57,Sunday,Domingo,18.0,-0.6450629161652089
