order_id,order_datetime,n_productos,n_lineas,fecha
2096,2015-12-16 19:14:00,7,7,2015-12-16
4487,2016-05-27 16:42:00,13,10,2016-05-27
4488,2016-05-27 17:19:00,6,5,2016-05-27
4489,2016-05-27 17:32:00,5,3,2016-05-27
4490,2016-05-27 17:37:00,4,4,2016-05-27
4491,2016-05-27 17:46:00,6,5,2016-05-27
4492,2016-05-27 18:02:00,6,5,2016-05-27
4493,2016-05-27 18:26:00,7,4,2016-05-27
4494,2016-05-27 18:59:00,17,9,2016-05-27
4495,2016-05-27 19:05:00,8,8,2016-05-27
4496,2016-05-27 19:07:00,6,6,2016-05-27
4497,2016-05-27 19:10:00,9,7,2016-05-27
4498,2016-05-27 19:17:00,20,12,2016-05-27
4499,2016-05-27 19:48:00,6,6,2016-05-27
4500,2016-05-27 19:54:00,8,6,2016-05-27
4501,2016-05-27 19:55:00,14,11,2016-05-27
4502,2016-05-27 20:41:00,4,4,2016-05-27
4503,2016-05-27 22:17:00,8,5,2016-05-27
4504,2016-05-28 16:55:00,6,6,2016-05-28
4505,2016-05-28 16:57:00,8,6,2016-05-28
4506,2016-05-28 17:04:00,4,4,2016-05-28
4507,2016-05-28 17:20:00,6,5,2016-05-28
4508,2016-05-28 17:35:00,10,7,2016-05-28
4509,2016-05-28 17:51:00,4,4,2016-05-28
4510,2016-05-28 18:01:00,5,5,2016-05-28
4511,2016-05-28 18:15:00,9,8,2016-05-28
4512,2016-05-28 18:16:00,5,5,2016-05-28
4513,2016-05-28 18:28:00,4,4,2016-05-28
4514,2016-05-28 18:42:00,10,9,2016-05-28
4515,2016-05-28 18:50:00,7,5,2016-05-28
4516,2016-05-28 18:57:00,10,8,2016-05-28
4517,2016-05-28 19:03:00,7,7,2016-05-28
4518,2016-05-28 19:04:00,23,17,2016-05-28
4519,2016-05-28 19:19:00,12,7,2016-05-28
4520,2016-05-28 19:20:00,4,4,2016-05-28
4521,2016-05-28 19:21:00,3,3,2016-05-28
4522,2016-05-28 19:28:00,7,6,2016-05-28
4523,2016-05-28 19:37:00,4,4,2016-05-28
