fecha,n_pedidos,anio
2016-09-01,10,2016.0
2016-09-02,20,2016.0
2016-09-03,35,2016.0
2016-09-04,12,2016.0
2016-09-05,5,2016.0
2016-09-06,8,2016.0
2016-09-07,4,2016.0
2016-09-08,7,2016.0
2016-09-09,23,2016.0
2016-09-10,21,2016.0
2016-09-11,11,2016.0
2016-09-12,6,2016.0
2016-09-13,4,2016.0
2016-09-14,7,2016.0
2016-09-15,8,2016.0
2016-09-16,19,2016.0
2016-09-17,39,2016.0
2016-09-18,14,2016.0
2016-09-19,5,2016.0
2016-09-20,5,2016.0
2016-09-21,3,2016.0
2016-09-22,11,2016.0
2016-09-23,17,2016.0
2016-09-24,41,2016.0
2016-09-25,14,2016.0
2016-09-26,6,2016.0
2016-09-27,10,2016.0
2016-09-28,11,2016.0
2016-09-29,7,2016.0
2016-09-30,19,2016.0
2016-10-01,34,2016.0
2016-10-02,18,2016.0
2016-10-03,7,2016.0
2016-10-04,6,2016.0
2016-10-05,7,2016.0
2016-10-06,6,2016.0
2016-10-07,27,2016.0
2016-10-08,33,2016.0
2016-10-09,18,2016.0
2016-10-10,8,2016.0
2016-10-11,6,2016.0
2016-10-12,4,2016.0
2016-10-13,7,2016.0
2016-10-14,18,2016.0
2016-10-15,35,2016.0
2016-10-16,10,2016.0
2016-10-17,5,2016.0
2016-10-18,1,2016.0
2016-10-19,11,2016.0
2016-10-20,13,2016.0
2016-10-21,24,2016.0
2016-10-22,34,2016.0
2016-10-23,12,2016.0
2016-10-24,9,2016.0
2016-10-25,3,2016.0
2016-10-26,10,2016.0
2016-10-27,9,2016.0
2016-10-28,25,2016.0
2016-10-29,38,2016.0
2016-10-30,16,2016.0
2016-10-31,7,2016.0
2016-11-01,7,2016.0
2016-11-02,5,2016.0
2016-11-03,7,2016.0
2016-11-04,29,2016.0
2016-11-05,26,2016.0
2016-11-06,20,2016.0
2016-11-07,7,2016.0
2016-11-08,3,2016.0
2016-11-09,9,2016.0
2016-11-10,9,2016.0
2016-11-11,23,2016.0
2016-11-12,33,2016.0
2016-11-13,15,2016.0
2016-11-14,5,2016.0
2016-11-15,10,2016.0
2016-11-16,11,2016.0
2016-11-17,10,2016.0
2016-11-18,22,2016.0
2016-11-19,41,2016.0
2016-11-20,16,2016.0
2016-11-21,2,2016.0
2016-11-22,2,2016.0
2016-11-23,8,2016.0
2016-11-24,7,2016.0
2016-11-25,15,2016.0
2016-11-26,41,2016.0
2016-11-27,14,2016.0
2016-11-28,8,2016.0
2016-11-29,5,2016.0
2016-11-30,9,2016.0
2016-12-01,7,2016.0
2016-12-02,18,2016.0
2016-12-03,37,2016.0
2016-12-04,16,2016.0
2016-12-05,7,2016.0
2016-12-06,7,2016.0
2016-12-07,10,2016.0
2016-12-08,11,2016.0
2016-12-09,10,2016.0
2016-12-10,38,2016.0
2016-12-11,19,2016.0
2016-12-12,12,2016.0
2016-12-13,6,2016.0
2016-12-14,10,2016.0
2016-12-15,14,2016.0
2016-12-16,27,2016.0
2016-12-17,37,2016.0
2016-12-18,26,2016.0
2016-12-19,7,2016.0
2016-12-20,10,2016.0
2016-12-21,11,2016.0
2016-12-22,13,2016.0
2016-12-23,16,2016.0
2016-12-24,26,2016.0
2016-12-25,1,2016.0
2016-12-26,10,2016.0
2016-12-27,18,2016.0
2016-12-28,6,2016.0
2016-12-29,18,2016.0
2016-12-30,20,2016.0
2016-12-31,35,2016.0
2017-01-01,17,2017.0
